2019-12-03,元朗 好順福大廈,19,F,281,3.920,"@13,950"
2019-12-03,元朗 鉅發大廈 第02座,27,A,452,5.000,"@11,062"
2019-12-03,元朗 溱柏 第07座,22,G,553,6.410,"@11,591"
2019-12-03,元朗 峻巒 第01B期 第06A座,7,C,841,8.600,"@10,226"
2019-12-03,元朗 峻巒 第02B期 第25A座,6,B,717,10.881,"@15,176"
2019-12-03,元朗 爾巒 菲利提諾大道 第07座,3,A,775,8.650,"@11,161"
2019-12-03,元朗 爾巒 茵羅洛斯大道 第03座,22,B,868,9.680,"@11,152"
2019-12-03,元朗 尚悅 第03座,15,J,414,5.538,"@13,377"
2019-12-03,元朗 尚悅 第11座,7,C,659,7.540,"@11,442"
2019-12-03,元朗 新時代廣場 第06座,16,A,439,6.350,"@14,465"
2019-12-02,柴灣 康翠台 第06座,9,F,757,8.820,"@11,651"
2019-12-02,柴灣 新翠花園 第01座,11,G,410,6.850,"@16,707"
2019-12-02,柴灣 新翠花園 第02座,14,D,503,7.850,"@15,606"
2019-12-02,柴灣 翠灣村 D座 翠寧樓,15,9,385,2.518,"@6,540"
2019-12-02,中半山 帝景園 第04座,9,A,1616,55.250,"@34,189"
2019-12-02,中半山 禮順苑,4,B,464,8.300,"@17,888"
2019-12-02,中半山 豐樂新村 B座,11,3,964,21.800,"@22,614"
2019-12-02,北角 百福花園 德福閣 K座,13,F,415,6.850,"@16,506"
2019-12-02,北角 昌苑,18,B,502,7.930,"@15,797"
2019-12-02,北角 海峰園 南峰閣,39,D,647,12.900,"@19,938"
2019-12-02,北角 嘉興大廈,11,A,243,4.380,"@18,025"
2019-12-02,北角 明園 第01期,17,5,662,10.000,"@15,106"
2019-12-02,北角 明園 第02期,15,58,520,6.000,"@11,538"
2019-12-02,鰂魚涌 康景花園 E座,30,5,593,8.900,"@15,008"
2019-12-02,鰂魚涌 海景樓,14,12,410,4.380,"@10,683"
2019-12-02,鰂魚涌 太古城 海景花園 綠楊閣,3,F,871,15.800,"@18,140"
2019-12-02,西營盤 皇后大道西192-194號,5,192,307,5.060,"@16,482"
2019-12-02,西營盤 高街1號C-D,2,1C,896,13.180,"@14,710"
2019-12-02,西營盤 順泰大廈,11,B,258,5.400,"@20,930"
2019-12-02,紅磡 海濱南岸 第03座,26,H,592,11.500,"@19,426"
2019-12-02,紅磡 海濱南岸 第07座,11,B,594,10.500,"@17,677"
2019-12-02,紅磡 何文田山畔 第01座,6,B,370,8.700,"@23,514"
2019-12-02,紅磡 海逸豪園 悅濤灣 第12A座,26,G,592,9.580,"@16,182"
2019-12-02,紅磡 海逸豪園 海逸灣 第21座,11,H,589,9.200,"@15,620"
2019-12-02,紅磡 海逸豪園 海逸灣 第21座,11,G,587,9.200,"@15,673"
2019-12-02,紅磡 海逸豪園 翠堤灣 第23A座,7,C,602,12.380,"@20,565"
2019-12-02,紅磡 海逸豪園 綠庭軒 第03座,20,A,548,9.150,"@16,697"
2019-12-02,紅磡 聯盛大廈 鴻運閣,13,5,282,4.300,"@15,248"
2019-12-02,紅磡 黃埔新村 佳榮樓 N座,15,5,360,5.600,"@15,556"
2019-12-02,紅磡 黃埔花園 第05期 第01座,16,B,688,9.980,"@14,506"
2019-12-02,紅磡 黃埔花園 第11期 第01座,5,E,508,8.360,"@16,457"
2019-12-02,紅磡 黃埔花園 第11期 第06座,16,B,641,9.950,"@15,523"
2019-12-02,新蒲崗 渣打銀行大廈,2,16,791,6.800,"@8,597"
2019-12-02,新蒲崗 譽港灣 第08座,20,C,588,9.650,"@16,412"
2019-12-02,大角咀 中耀樓,6,27,500,4.800,"@9,600"
2019-12-02,大角咀 維港灣 第07座,23,F,984,18.800,"@19,106"
2019-12-02,尖沙咀 連城閣,5,B,300,4.950,"@16,500"
2019-12-02,尖沙咀 耀基大廈,6,B,699,10.000,"@14,306"
2019-12-02,土瓜灣 華發大樓,3,A,350,4.600,"@13,143"
2019-12-02,黃大仙 華基大廈,20,E,285,4.380,"@15,368"
2019-12-02,馬鞍山 錦英苑 H座 錦雅閣,20,2,645,8.000,"@12,403"
2019-12-02,馬鞍山 馬鞍山中心 第03座,9,B,379,6.015,"@15,871"
2019-12-02,馬鞍山 馬鞍山中心 第04座,18,G,385,6.460,"@16,779"
2019-12-02,馬鞍山 海典灣 第02座,19,B,821,11.000,"@13,398"
2019-12-02,馬鞍山 嵐岸 第01座,21,F,1038,13.800,"@13,295"
2019-12-02,馬鞍山 雲海 第02期 JASMINE AVE 別墅,,1,2191,54.512,"@24,880"
2019-12-02,馬鞍山 雲海 第02期 VIOLET AVE 別墅,,2,2151,51.074,"@23,744"
2019-12-02,馬鞍山 新港城 P座,13,8,377,6.000,"@15,915"
2019-12-02,馬鞍山 新港城 R座,6,3,339,5.810,"@17,139"
2019-12-02,馬鞍山 薈朗 第01座,9,A08,297,5.400,"@18,182"
2019-12-02,西貢 新安村51號,G,,,3.400,--
2019-12-02,西貢 逸瓏園 第05座,6,E,666,8.800,"@13,213"
2019-12-02,沙田 隔田村南軒路15號,G,,,6.250,--
2019-12-02,沙田 沙田第一城 第01期 第09座,29,B,453,7.650,"@16,887"
2019-12-02,沙田 沙田第一城 第02期 第21座,15,G,327,5.660,"@17,309"
2019-12-02,沙田 沙田第一城 第04期 第38座,17,D,304,5.550,"@18,257"
2019-12-02,沙田 沙田第一城 第06期 第24座,6,H,325,1.830,"@5,631"
2019-12-02,沙田 沙田第一城 第06期 第25座,7,D,690,9.650,"@13,986"
2019-12-02,沙田 河畔花園 E座,23,5,271,4.688,"@17,299"
2019-12-02,沙田 金獅花園 第02期 F座 金滿閣,23,4,306,4.750,"@15,523"
2019-12-02,沙田 康樂樓,3,F,330,4.800,"@14,545"
2019-12-02,沙田 銀禧花園 第06座,17,E,506,7.315,"@14,457"
2019-12-02,沙田 好運中心 椰林閣,9,B,505,--,--
2019-12-02,沙田 御龍山 第02座,15,C,710,10.800,"@15,211"
2019-12-02,沙田 御龍山 第03座,28,B,784,15.550,"@19,834"
2019-12-02,沙田 博康村 第08座 博智樓,31,19,381,4.300,"@11,286"
2019-12-02,沙田 薈蕎 2翼,1,C01,798,16.598,"@20,799"
2019-12-02,沙田 溱岸8號 第02座,42,A,1380,12.000,"@8,696"
2019-12-02,將軍澳 藍塘傲 第02座,5,A,494,8.000,"@16,194"
2019-12-02,將軍澳 日出康城 第02期 領峰 第06座 左翼,61,LB,814,9.980,"@12,260"
2019-12-02,將軍澳 日出康城 第03期 緻藍天 第03座,22,LB,941,13.200,"@14,028"
2019-12-02,將軍澳 日出康城 第09A期 第03A座,11,D,598,9.794,"@16,378"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第06座,66,B,536,9.000,"@16,791"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第08座,26,H,701,9.730,"@13,880"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第08座,26,H,701,9.730,"@13,880"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第09座,30,C,774,9.700,"@12,532"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第09座,30,C,774,9.700,"@12,532"
2019-12-02,將軍澳 都會駅 第02期 城中駅 第10座,37,A,701,9.830,"@14,023"
2019-12-02,將軍澳 清水灣半島 第06座,9,E,562,6.920,"@12,313"
2019-12-02,將軍澳 將軍澳中心 第02期 第02座,6,H,497,7.720,"@15,533"
2019-12-02,將軍澳 將軍澳廣場 第01期 第01座,48,E,449,7.600,"@16,927"
2019-12-02,將軍澳 將軍澳廣場 第02期 第05座,38,A,490,0.800,"@1,633"
2019-12-02,大埔 新屋家7號,1,,,3.800,--
2019-12-02,大埔 富善村 第02座 善鄰樓,31,18,286,1.500,"@5,245"
2019-12-02,大埔 翠屏花園 C座,6,6,275,4.150,"@15,091"
2019-12-02,大埔 薈澄居,G,M,665,6.750,"@10,150"
2019-12-02,大埔 逸瓏灣8 第02座,18,F,711,11.809,"@16,609"
2019-12-02,大埔 逸瓏灣 I 低座洋房 L15座,1,B,637,8.000,"@12,559"
2019-12-02,大埔 美菱居,28,B,516,6.788,"@13,155"
2019-12-02,大埔 明雅苑 C座 明昌閣,14,16,338,4.568,"@13,515"
2019-12-02,大埔 新興花園 康仁閣 第02座,18,C,468,5.400,"@11,538"
2019-12-02,大埔 大埔中心 第04座,28,E,300,4.938,"@16,460"
2019-12-02,大埔 大埔廣場 第05座 宜盛閣,25,H,474,6.180,"@13,038"
2019-12-02,大埔 新達廣場 第01座,5,B,494,1.688,"@3,417"
2019-12-02,大埔 宏福苑 B座 宏道閣,7,5,483,2.780,"@5,756"
2019-12-02,荃灣 麗城花園 第03期 第07座,27,E,728,4.390,"@6,030"
2019-12-02,荃灣 浪翠園 第01期 第02座,28,F,613,7.600,"@12,398"
2019-12-02,荃灣 韻濤居 A座,8,7,610,8.000,"@13,115"
2019-12-02,荃灣 映日灣 第02座,3,E,423,7.352,"@17,381"
2019-12-02,荃灣 映日灣 第02座,2,J,284,5.732,"@20,183"
2019-12-02,荃灣 荃灣中心 重慶樓,9,A,324,4.238,"@13,080"
2019-12-02,荃灣 荃灣中心 太原樓,32,F,329,4.380,"@13,313"
2019-12-02,荃灣 萬景峰 第01座,15,E,538,9.280,"@17,249"
2019-12-02,荃灣 萬景峰 第02座,25,F,537,9.500,"@17,691"
2019-12-02,荃灣 富麗花園 昌貴閣,7,A,330,4.800,"@14,545"
2019-12-02,元朗 鳳降村23號A,2,,,5.150,--
2019-12-02,元朗 上輋121號A,2,,,4.000,--
2019-12-02,元朗 元崗142號,2,,,4.300,--
2019-12-02,元朗 振興新村,1,93B,,2.900,--
2019-12-02,元朗 山水盈 第03座,3,A,968,10.646,"@10,998"
2019-12-02,元朗 山水盈 第03座,7,A,968,11.257,"@11,629"
2019-12-02,元朗 山水盈 第03座,8,A,968,11.392,"@11,769"
2019-12-02,元朗 山水盈 第03座,6,B,967,11.835,"@12,239"
2019-12-02,元朗 錦繡花園 D段 第01街,,23,850,9.990,"@11,753"
2019-12-02,元朗 朗日路9號,10,A,539,8.000,"@14,842"
2019-12-02,元朗 怡安苑,1,1,,3.000,--
2019-12-02,元朗 原築 第02座,3,E,452,5.800,"@12,832"
2019-12-02,元朗 峻巒 第01A期 第09A座,3,D,643,7.280,"@11,322"
2019-12-02,元朗 峻巒 第02B期 第25A座,2,D,635,9.416,"@14,828"
2019-12-02,元朗 峻巒 第02B期 第26座,11,B,596,8.911,"@14,951"
2019-12-02,元朗 峻巒 第02B期 第27B座,5,A,826,12.844,"@15,550"
2019-12-02,元朗 朗城匯 第02座,31,C,754,12.902,"@17,111"
2019-12-02,元朗 朗城匯 第02座,30,C,756,12.838,"@16,981"
2019-12-02,元朗 朗城匯 第02座,15,H,749,11.900,"@15,888"
2019-12-02,元朗 尚城 第05座,5,B,762,6.500,"@8,530"
2019-12-02,元朗 新時代廣場 第02座,26,F,423,6.300,"@14,894"
2019-11-29,柴灣 怡翠苑 C座 樂怡閣,25,7,449,6.220,"@13,853"
2019-11-29,中半山 雅緻大廈,23,B,429,9.500,"@22,145"
2019-11-29,北角 五洲大廈,13,G,,5.680,--
2019-11-29,北角 金龍大廈 B座,9,5,589,10.000,"@16,978"
2019-11-29,北角 鴻福大樓,4,O,464,5.060,"@10,905"
2019-11-29,北角 昌明洋樓 B座,21,4,590,5.680,"@9,627"
2019-11-29,北角 寶馬花園 第02座,25,A,484,4.000,"@8,264"
2019-11-29,北角 怡寶洋樓,20,A,321,5.600,"@17,445"
2019-11-29,鰂魚涌 寶峰園 C座,8,4,640,2.000,"@3,125"
2019-11-29,鰂魚涌 海光苑 第01座,11,B,518,7.850,"@15,154"
2019-11-29,鰂魚涌 鯉景灣 逸榮閣,8,D,543,9.990,"@18,398"
2019-11-29,鰂魚涌 南豐新村 第07座,19,E,540,8.360,"@15,481"
2019-11-29,鰂魚涌 柏蕙苑 瑞柏閣,19,B,665,12.340,"@18,556"
2019-11-29,鰂魚涌 太古城 金殿台 齊宮閣,25,B,665,14.750,"@22,180"
2019-11-29,鰂魚涌 太古城 安盛台 建安閣,21,F,514,4.800,"@9,339"
2019-11-29,鰂魚涌 太古城 高山台 怡山閣,12,H,605,10.000,"@16,529"
2019-11-29,鰂魚涌 太古城 星輝台 耀星閣,8,E,520,10.300,"@19,808"
2019-11-29,西營盤 金裕大廈,6,D,530,7.980,"@15,057"
2019-11-29,紅磡 環興街2-4號,3,C12,370,3.595,"@9,716"
2019-11-29,紅磡 昇御門 第01座,10,G,308,5.850,"@18,994"
2019-11-29,紅磡 海濱南岸 第03座,2,E,484,8.200,"@16,942"
2019-11-29,紅磡 康年閣,13,B,312,5.165,"@16,554"
2019-11-29,紅磡 寶新大廈,7,A,450,6.000,"@13,333"
2019-11-29,紅磡 半島豪庭 第03座,1,G,498,8.020,"@16,104"
2019-11-29,紅磡 啟岸,15,B1,268,6.051,"@22,578"
2019-11-29,九龍塘 珍寶閣,1,C,870,12.000,"@13,793"
2019-11-29,九龍塘 新翠園,6,A,1070,15.400,"@14,393"
2019-11-29,新蒲崗 新蒲崗廣場 第01座,18,C,662,9.200,"@13,897"
2019-11-29,大角咀 富榮花園 第02期 第06座,7,B,592,7.300,"@12,331"
2019-11-29,大角咀 大同新村 大滿樓 G座,13,1,386,3.900,"@10,104"
2019-11-29,大角咀 利奧坊曉岸 第02座,10,L,193,4.300,"@22,280"
2019-11-29,大角咀 君匯港 第01座,19,E,881,17.000,"@19,296"
2019-11-29,大角咀 維港灣 第08座,11,E,519,8.700,"@16,763"
2019-11-29,大角咀 港灣豪庭 第01期 第03座,34,F,424,7.080,"@16,698"
2019-11-29,大角咀 港灣豪庭 第02期 第08座,41,C,547,10.000,"@18,282"
2019-11-29,尖沙咀 寶靈街40-44號,4,A,371,3.280,"@8,841"
2019-11-29,尖沙咀 柯士甸大廈,1,B,832,8.500,"@10,216"
2019-11-29,尖沙咀 創德樓,6,A,,6.600,--
2019-11-29,土瓜灣 美景街21號,1,,566,4.800,"@8,481"
2019-11-29,土瓜灣 金運閣,8,C,303,4.680,"@15,446"
2019-11-29,土瓜灣 傲雲峰 第07座,45,H,517,8.600,"@16,634"
2019-11-29,黃大仙 鳳寶大廈,10,B,267,3.800,"@14,232"
2019-11-29,黃大仙 金鳳樓,2,1,377,3.850,"@10,212"
2019-11-29,馬鞍山 泓碧 第01座,11,D,520,9.745,"@18,740"
2019-11-29,馬鞍山 泓碧 第03座,16,G,309,7.177,"@23,227"
2019-11-29,馬鞍山 觀瀾雅軒 第04座,9,D,652,8.270,"@12,684"
2019-11-29,馬鞍山 富安花園 第09座,9,F,479,3.800,"@7,933"
2019-11-29,馬鞍山 迎海 第03期 星灣御 第22座,18,H,585,9.980,"@17,060"
2019-11-29,馬鞍山 迎海 第04期 駿岸 第08座,6,G,547,8.280,"@15,137"
2019-11-29,馬鞍山 迎海 第04期 駿岸 第08座,8,G,553,8.450,"@15,280"
